"Requirement ID";"Original Requirement Text";"Suggested Reformulation";"Pattern";"Issues";"Severity";"Conflicts";"Missing Information";"Rationale"
"FR-01";"The application shall communicate with Firefly III via REST API (v1) exclusively through the shared firefly-python-api package, which provides an authenticated session, URL validation, and configuration loading";"The application shall communicate with Firefly III via REST API (v1) exclusively through the shared firefly-python-api package, which provides an authenticated session, URL validation, and configuration loading";"P1";"NONE";"";"";"";"Meets all review criteria. Interpreted as an intentional architectural constraint; the relative clause is descriptive context, not a second obligation."
"FR-02";"The analysis time window shall be configurable (default: 24 months)";"The application shall read the analysis time window from configuration, with a default of 24 months.";"P1";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Obligation placed on the artefact (""the analysis time window"") in passive form; reformulated with the application as active subject per ISO 29148 5.2.4. Default value preserved from the original."
"FR-03";"The application shall support the frequencies: monthly, quarterly, half-yearly, yearly, irregular";"The application shall classify each recurring payment pattern into exactly one of the frequencies monthly, quarterly, half-yearly, yearly, or irregular.";"P1";"WEAK-VERB";"Major";"";"";"Weak verb ""support"" replaced with ""classify"", which matches the intent evident in UC2 step 4. List fully expanded and made exclusive to be verifiable."
"FR-04";"The confidence threshold for automatic approval shall be configurable";"The application shall read the confidence threshold for automatic approval from configuration.";"P1";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Obligation placed on the artefact (""the confidence threshold"") in passive form; reformulated with the application as active subject. The configuration parameter HIGH_CONFIDENCE_THRESHOLD in the same document appears to realize this requirement."
"FR-05";"The application shall check whether a bill already exists before creating it";"When the application is about to create a bill, the application shall verify whether a matching bill already exists in Firefly III before creating the bill.";"P2";"AMBIGUOUS";"Major";"";"Matching criterion for ""already exists"" (name only, name plus amount, etc.) is undefined";"Trigger made explicit in P2 form. Pronoun ""it"" resolved. The duplicate-matching criterion is undefined, so a test case cannot be fully derived; criterion must be defined by the requirement owner."
"FR-06";"The amount range (min/max) shall be calculated with a configurable margin";"When the application creates a bill, the application shall compute the bill amount range (minimum and maximum) by applying a configurable margin to the estimated amount.";"P2";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Passive obligation on the artefact (""the amount range""); reformulated with the application as active subject and trigger made explicit. Baseline for the margin (estimated amount) inferred from UC4; requires owner confirmation."
"FR-07a";"Dry-run mode shall be supported via a flag and shall not write anything to Firefly III";"When the application is started with the dry-run flag, the application shall activate dry-run mode.";"P2";"COMPOUND, WEAK-VERB, WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Original combined two obligations (mode activation and write inhibition); decomposed per R4. Weak verb ""supported"" and passive artefact subject corrected. Flag name --dry-run per UC5."
"FR-07b";"Dry-run mode shall be supported via a flag and shall not write anything to Firefly III";"While dry-run mode is active, the application shall not write any data to Firefly III.";"P3";"COMPOUND, WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Second obligation from the decomposition. The negative form is a legitimate scope exclusion (inhibition requirement) and is intentionally kept negative; NEGATIVE-REQUIREMENT not tagged per R12."
"FR-08";"Results shall be exportable to CSV or JSON";"Upon user request, the application shall export the analysis results to CSV format or JSON format.";"P2";"WRONG-SUBJECT, PASSIVE-VOICE, TRIGGER-MISSING";"Major";"";"";"Passive obligation on the artefact (""results""); reformulated with the application as active subject. Trigger ""upon user request"" inferred from UC5; requires owner confirmation."
"FR-09";"The application shall log all API calls and their outcomes";"The application shall log all API calls and their outcomes";"P1";"NONE";"";"";"";"Meets all review criteria. The quantifier ""all API calls"" makes applicability explicit; ""and"" joins items of one logging obligation, not two obligations."
"FR-10";"Configuration shall be handled via a .env file or environment variables";"The application shall read its configuration from a .env file or from environment variables.";"P1";"WRONG-SUBJECT, PASSIVE-VOICE, WEAK-VERB";"Major";"";"Precedence order when both a .env file and environment variables define the same parameter is undefined";"Passive artefact subject and weak verb ""handled"" corrected; the application made the active subject. Precedence between the two sources should be defined."
"FR-11a";"The application shall support an include list and an exclude list for categories";"When a category include list is configured, the application shall include only transactions whose category matches the include list in the analysis.";"P5";"WEAK-VERB, COMPOUND";"Major";"";"";"Weak verb ""support"" gave no verifiable effect; behavior taken from UC6 alternative flow. Decomposed into include-list and exclude-list obligations per R4."
"FR-11b";"The application shall support an include list and an exclude list for categories";"When a category exclude list is configured, the application shall exclude transactions whose category matches the exclude list from the analysis.";"P5";"WEAK-VERB, COMPOUND";"Major";"";"";"Second obligation from the decomposition, behavior per UC6 alternative flow step 2."
"FR-12";"Transactions whose category appears in the include list shall receive a configurable confidence boost";"When a transaction's category appears in the include list, the application shall increase that transaction's confidence score by the configured category confidence boost.";"P2";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Obligation placed on the artefact (""transactions""); reformulated with the application as active subject and the category condition moved into the trigger clause per ISO 29148 5.2.4."
"FR-13a";"The category name shall be shown in the table view and included in the bill name if unique per payee";"The web UI shall display the category name in the table view.";"P1";"COMPOUND, WRONG-SUBJECT, PASSIVE-VOICE, AMBIGUOUS";"Major";"";"";"Original combined a display obligation and a naming obligation; decomposed per R4. It is ambiguous whether ""if unique per payee"" qualifies both clauses or only the bill name; interpreted as qualifying only the bill name, per UC6. Requires owner confirmation."
